study_code,group,platform,start_ms,end_ms,raw_duration_ms,prompt_excluded_duration_ms,mean_dwell_ms,swipe_count,risk_score,risk_level,sentiment_reliability,nsd_percent,oov_ratio
P-10Y,CONTROL,TIKTOK,1778561296000,1778563653925,2357925,2357925,3816,619,95.29,CRITICAL,RELIABLE,47.6853823199621,0.381708313017099
P-23X,INTERVENTION,INSTAGRAM,1778561327000,1778562400331,1073331,1000336,13641,76,39.53,WARNING,SENTIMENT_UNRELIABLE,,0.731380314903645
P-03X,INTERVENTION,TIKTOK,1778562136000,1778565264273,3128273,3069075,6961,450,99.0,CRITICAL,RELIABLE,97.747257591606,0.213679804027052
P-33X,INTERVENTION,TIKTOK,1778562860000,1778563114269,254269,254269,10715,23,21.99,SAFE,RELIABLE,14.0635197315828,0.272831467111721
P-31X,INTERVENTION,INSTAGRAM,1778563004000,1778563783586,779586,779586,16730,48,30.73,SAFE,RELIABLE,49.2436625138094,0.359200218985089
P-08Y,CONTROL,INSTAGRAM,1778563137000,1778564773236,1636236,1636236,2208,744,99.0,CRITICAL,RELIABLE,94.8535580259542,0.099788907107849
P-13X,INTERVENTION,INSTAGRAM,1778563753000,1778565663888,1910888,1816934,2697,706,87.84,CRITICAL,SENTIMENT_UNRELIABLE,,0.523111093069256
P-46Y,CONTROL,TIKTOK,1778563954000,1778564244378,290378,290378,21558,15,0.0,SAFE,RELIABLE,10.3511289459154,0.290900093547608
P-38Y,CONTROL,INSTAGRAM,1778564898000,1778565278732,380732,380732,19576,20,5.76,SAFE,RELIABLE,32.5109820955951,0.154279633861136
P-42Y,CONTROL,INSTAGRAM,1778565410000,1778565721838,311838,311838,14421,23,0.0,SAFE,RELIABLE,1.6962830933644,0.389035920190123
P-22Y,CONTROL,INSTAGRAM,1778566060000,1778567570503,1510503,1510503,12230,127,41.48,WARNING,RELIABLE,16.0865934690879,0.288155827545173
P-48Y,CONTROL,INSTAGRAM,1778566347000,1778566922224,575224,575224,14030,45,0.0,SAFE,RELIABLE,3.343818456866,0.326902066573218
P-26Y,CONTROL,FACEBOOK,1778566502000,1778567364099,862099,862099,11318,73,44.76,WARNING,RELIABLE,49.5122370414459,0.085791998827607
P-28Y,CONTROL,FACEBOOK,1778567020000,1778567683653,663653,663653,6516,99,48.99,WARNING,RELIABLE,43.3339964097044,0.313963086615595
P-15X,INTERVENTION,TIKTOK,1778567261000,1778568226588,965588,793306,7079,142,73.9,CRITICAL,RELIABLE,61.1876961874964,0.232551522883307
P-08Y,CONTROL,TIKTOK,1778567392000,1778570121040,2729040,2729040,6968,390,99.0,CRITICAL,RELIABLE,99.9852245662957,0.144832587136961
P-05X,INTERVENTION,INSTAGRAM,1778568188000,1778570098036,1910036,1744986,4090,471,99.0,CRITICAL,RELIABLE,62.797234977037,0.10073797524187
P-49X,INTERVENTION,INSTAGRAM,1778568198000,1778568500636,302636,302636,18765,14,0.0,SAFE,RELIABLE,13.0370599292228,0.262005053253776
P-25X,INTERVENTION,INSTAGRAM,1778568486000,1778569113572,627572,627572,14854,47,24.36,SAFE,RELIABLE,16.8188177260473,0.106677246975181
P-28Y,CONTROL,TIKTOK,1778568975000,1778570467262,1492262,1492262,12485,125,52.56,WARNING,RELIABLE,53.0185629638879,0.363733001122858
P-43X,INTERVENTION,TIKTOK,1778569240000,1778569624231,384231,384231,29976,16,2.26,SAFE,RELIABLE,21.417059250362,0.161849451947834
P-01X,INTERVENTION,INSTAGRAM,1778569257000,1778570806959,1549959,1373195,3867,397,88.56,CRITICAL,SENTIMENT_UNRELIABLE,,0.792357941140091
P-15X,INTERVENTION,INSTAGRAM,1778569491000,1778570864385,1373385,1281104,8530,165,73.14,CRITICAL,RELIABLE,49.3984657011241,0.05256036716168
P-10Y,CONTROL,INSTAGRAM,1778569986000,1778571504927,1518927,1518927,4510,335,95.24,CRITICAL,RELIABLE,88.4936349484239,0.390132437983868
P-05X,INTERVENTION,TIKTOK,1778570251000,1778571345898,1094898,1005537,5399,206,98.22,CRITICAL,RELIABLE,96.6562252038244,0.269128552524281
P-27X,INTERVENTION,TIKTOK,1778570355000,1778570865131,510131,476546,11348,42,35.09,WARNING,RELIABLE,34.9473839665731,0.301566444540293
P-06Y,CONTROL,INSTAGRAM,1778570411000,1778571907382,1496382,1496382,6971,218,81.99,CRITICAL,SENTIMENT_UNRELIABLE,,0.880010051577402
P-08Y,CONTROL,INSTAGRAM,1778570530000,1778572751997,2221997,2221997,5498,410,99.0,CRITICAL,RELIABLE,61.5533186547629,0.333785588452568
P-12Y,CONTROL,FACEBOOK,1778570962000,1778571750615,788615,788615,5260,148,73.75,CRITICAL,RELIABLE,57.8444829547602,0.248208581955006
P-36Y,CONTROL,INSTAGRAM,1778571687000,1778572466915,779915,779915,21512,34,18.4,SAFE,RELIABLE,10.6872601014176,0.213787016087411
P-11X,INTERVENTION,TIKTOK,1778572951000,1778574460184,1509184,1448219,6295,237,75.44,CRITICAL,SENTIMENT_UNRELIABLE,,0.843300065847418
P-22Y,CONTROL,INSTAGRAM,1778573178000,1778574643641,1465641,1465641,9433,153,57.12,WARNING,RELIABLE,50.5712312330145,0.383077985622079
P-14Y,CONTROL,INSTAGRAM,1778573444000,1778575340446,1896446,1896446,7901,238,90.74,CRITICAL,RELIABLE,77.6976782531749,0.291212551331023
P-23X,INTERVENTION,TIKTOK,1778574417000,1778575463413,1046413,990663,8535,127,52.44,WARNING,RELIABLE,49.1168582096324,0.056117253031781
P-12Y,CONTROL,INSTAGRAM,1778575719000,1778577111618,1392618,1392618,4204,330,77.72,CRITICAL,SENTIMENT_UNRELIABLE,,0.796244675815593
P-01X,INTERVENTION,INSTAGRAM,1778575928000,1778577920275,1992275,1893879,6351,310,99.0,CRITICAL,RELIABLE,68.5064535415337,0.147921111791178
P-02Y,CONTROL,FACEBOOK,1778576249000,1778578297681,2048681,2048681,5002,410,99.0,CRITICAL,RELIABLE,57.7060504379442,0.249591278706547
P-08Y,CONTROL,TIKTOK,1778576750000,1778578966429,2216429,2216429,4330,514,99.0,CRITICAL,RELIABLE,58.8835684728803,0.13904931191049
P-27X,INTERVENTION,FACEBOOK,1778576883000,1778578091815,1208815,1204077,15608,79,42.8,WARNING,RELIABLE,53.2783709530353,0.040961410992868
P-15X,INTERVENTION,TIKTOK,1778577651000,1778579063673,1412673,1334045,6474,221,80.22,CRITICAL,RELIABLE,57.7254169438956,0.357583544322837
P-02Y,CONTROL,INSTAGRAM,1778578195000,1778582194969,3999969,3999969,5172,778,99.0,CRITICAL,RELIABLE,69.2844127755549,0.382199071352074
P-50Y,CONTROL,TIKTOK,1778578927000,1778579309000,382000,382000,16165,28,0.0,SAFE,RELIABLE,20.9850397728868,0.194424199616945
P-30Y,CONTROL,FACEBOOK,1778579821000,1778580614030,793030,793030,14521,59,31.09,SAFE,RELIABLE,41.1056941435485,0.081766056477348
P-14Y,CONTROL,TIKTOK,1778580038000,1778581550001,1512001,1512001,3614,424,80.5,CRITICAL,SENTIMENT_UNRELIABLE,,0.925729746042247
P-24Y,CONTROL,FACEBOOK,1778580813000,1778581431165,618165,618165,8739,69,35.36,WARNING,RELIABLE,15.7777593653236,0.06098187037461
P-22Y,CONTROL,INSTAGRAM,1778581400000,1778582251874,851874,851874,8712,94,44.46,WARNING,RELIABLE,33.7820706441457,0.381718751030089
P-21X,INTERVENTION,INSTAGRAM,1778581420000,1778581980580,560580,560580,17515,35,28.15,SAFE,RELIABLE,38.3102686378096,0.31223807490089
P-19X,INTERVENTION,FACEBOOK,1778582258000,1778583347986,1089986,1073001,9629,119,53.88,WARNING,RELIABLE,58.0931513050937,0.336762726673426
P-09X,INTERVENTION,INSTAGRAM,1778582997000,1778583970997,973997,799642,5001,199,70.33,CRITICAL,SENTIMENT_UNRELIABLE,,0.741986720521762
P-07X,INTERVENTION,FACEBOOK,1778583017000,1778585640927,2623927,2563603,2275,1150,99.0,CRITICAL,RELIABLE,88.5317321678403,0.09985944872566
P-04Y,CONTROL,TIKTOK,1778583133000,1778587098379,3965379,3965379,4813,828,99.0,CRITICAL,RELIABLE,71.9387048838646,0.38515472660342
P-21X,INTERVENTION,TIKTOK,1778583367000,1778583975643,608643,608643,16515,39,27.38,SAFE,RELIABLE,33.7857867717428,0.169841556525092
P-05X,INTERVENTION,INSTAGRAM,1778583767000,1778586757344,2990344,2825107,5444,553,99.0,CRITICAL,SENTIMENT_UNRELIABLE,,0.80218123940595
P-40Y,CONTROL,TIKTOK,1778584278000,1778584441149,163149,163149,34550,10,0.0,SAFE,RELIABLE,1.8650236020324,0.365102902215276
P-26Y,CONTROL,FACEBOOK,1778584340000,1778585119175,779175,779175,6051,133,43.76,WARNING,RELIABLE,19.1920575641757,0.114778099242881
P-01X,INTERVENTION,TIKTOK,1778584747000,1778586806331,2059331,1889790,3271,630,99.0,CRITICAL,RELIABLE,85.619765692556,0.277981030004559
P-14Y,CONTROL,FACEBOOK,1778585367000,1778586788383,1421383,1421383,7153,201,72.59,CRITICAL,SENTIMENT_UNRELIABLE,,0.493857265176847
P-02Y,CONTROL,INSTAGRAM,1778585857000,1778588535709,2678709,2678709,1849,1453,99.0,CRITICAL,RELIABLE,88.7658642772038,0.084526465531275
P-10Y,CONTROL,TIKTOK,1778586053000,1778586934377,881377,881377,6311,142,75.6,CRITICAL,RELIABLE,65.7024110373754,0.391828996559998
P-16Y,CONTROL,TIKTOK,1778586504000,1778587757686,1253686,1253686,8379,149,67.93,CRITICAL,SENTIMENT_UNRELIABLE,,0.562283030572361
P-49X,INTERVENTION,TIKTOK,1778586548000,1778586904990,356990,356990,21750,22,0.0,SAFE,RELIABLE,17.0381647711609,0.361143011464421
P-01X,INTERVENTION,TIKTOK,1778586610000,1778588967092,2357092,2290900,5670,417,99.0,CRITICAL,RELIABLE,67.3421621317366,0.379994369586012
P-13X,INTERVENTION,INSTAGRAM,1778587167000,1778589130241,1963241,1841314,6533,302,81.38,CRITICAL,SENTIMENT_UNRELIABLE,,0.493700278280611
P-10Y,CONTROL,TIKTOK,1778587642000,1778589508320,1866320,1866320,3419,543,97.49,CRITICAL,RELIABLE,73.8443632405933,0.339682924695939
P-47X,INTERVENTION,INSTAGRAM,1778588220000,1778588648807,428807,428807,17378,28,0.0,SAFE,RELIABLE,13.2457873906472,0.231250627736476
P-42Y,CONTROL,INSTAGRAM,1778588383000,1778588469413,86413,86413,28580,7,0.0,SAFE,RELIABLE,16.2553645446534,0.131536025168132
P-24Y,CONTROL,TIKTOK,1778588537000,1778589438405,901405,901405,17527,52,37.52,WARNING,RELIABLE,52.6029227515169,0.128463492189051
P-24Y,CONTROL,FACEBOOK,1778589803000,1778591344294,1541294,1541294,8128,195,54.62,WARNING,RELIABLE,31.7714265707026,0.102177107493276
P-14Y,CONTROL,INSTAGRAM,1778589857000,1778590631095,774095,774095,4189,185,83.69,CRITICAL,RELIABLE,83.2925754466648,0.099140715775306
P-45X,INTERVENTION,FACEBOOK,1778590829000,1778591133623,304623,304623,29975,8,0.0,SAFE,RELIABLE,14.5897291256906,0.186533109476463
P-06Y,CONTROL,INSTAGRAM,1778591782000,1778593130093,1348093,1348093,1829,738,99.0,CRITICAL,RELIABLE,89.8765447342267,0.34770902176372
P-19X,INTERVENTION,INSTAGRAM,1778591865000,1778592818553,953553,936244,16439,57,40.47,WARNING,RELIABLE,59.5279154466659,0.173488269912516
P-36Y,CONTROL,TIKTOK,1778592467000,1778593036203,569203,569203,20542,30,21.11,SAFE,RELIABLE,28.426745171785,0.36950225563821
P-20Y,CONTROL,TIKTOK,1778593727000,1778594470576,743576,743576,14812,51,32.97,SAFE,RELIABLE,38.360769255665,0.397022270216033
P-05X,INTERVENTION,FACEBOOK,1778594480000,1778597304950,2824950,2652276,4349,654,99.0,CRITICAL,RELIABLE,81.2159532272359,0.177111409843607
P-02Y,CONTROL,FACEBOOK,1778594578000,1778597263220,2685220,2685220,5336,500,99.0,CRITICAL,RELIABLE,69.975974893822,0.202347960793386
P-16Y,CONTROL,FACEBOOK,1778594658000,1778596656268,1998268,1998268,2757,726,97.63,CRITICAL,RELIABLE,64.6235197131961,0.169952457445516
P-33X,INTERVENTION,TIKTOK,1778594931000,1778595713541,782541,753107,12410,63,34.03,WARNING,RELIABLE,38.3796921526573,0.123240297087979
P-09X,INTERVENTION,INSTAGRAM,1778595290000,1778596304653,1014653,947152,6412,158,82.3,CRITICAL,RELIABLE,81.3676418307901,0.30679416139706
P-39X,INTERVENTION,INSTAGRAM,1778595496000,1778595901619,405619,405619,21831,18,0.0,SAFE,RELIABLE,8.4849514053315,0.32062359008983
P-17X,INTERVENTION,FACEBOOK,1778595758000,1778596305500,547500,465065,13926,40,37.47,WARNING,RELIABLE,55.8705536926751,0.04815866516165
P-16Y,CONTROL,FACEBOOK,1778596083000,1778598491146,2408146,2408146,8092,296,84.72,CRITICAL,SENTIMENT_UNRELIABLE,,0.687556825358901
P-19X,INTERVENTION,INSTAGRAM,1778596717000,1778597481437,764437,762865,8315,93,45.17,WARNING,SENTIMENT_UNRELIABLE,,0.754968926158616
P-08Y,CONTROL,INSTAGRAM,1778596929000,1778598522531,1593531,1593531,2968,533,99.0,CRITICAL,RELIABLE,94.874218954646,0.363621774641679
P-47X,INTERVENTION,TIKTOK,1778597179000,1778597419547,240547,240547,10789,25,0.0,SAFE,RELIABLE,2.602696049876,0.052276084534965
P-25X,INTERVENTION,INSTAGRAM,1778597334000,1778598393124,1059124,1024296,14404,75,35.82,WARNING,RELIABLE,31.0155770240457,0.091374605973907
P-07X,INTERVENTION,INSTAGRAM,1778626966000,1778629293523,2327523,2232012,3877,600,99.0,CRITICAL,RELIABLE,86.0555277493393,0.323260836815065
P-16Y,CONTROL,TIKTOK,1778627078000,1778628967367,1889367,1889367,5696,331,87.02,CRITICAL,RELIABLE,53.468179540298,0.200278739059374
P-37X,INTERVENTION,INSTAGRAM,1778627602000,1778627780769,178769,178769,25346,5,0.0,SAFE,RELIABLE,7.6621246959019,0.10984648709174
P-46Y,CONTROL,FACEBOOK,1778627642000,1778628145565,503565,503565,30665,15,0.0,SAFE,RELIABLE,23.2923009989931,0.224868362977537
P-15X,INTERVENTION,TIKTOK,1778627727000,1778629797468,2070468,1987982,7106,289,92.68,CRITICAL,RELIABLE,71.4644405949916,0.094716076246826
P-47X,INTERVENTION,TIKTOK,1778627942000,1778628684092,742092,742092,10047,72,13.54,SAFE,RELIABLE,24.7872906776599,0.05555921092321
P-13X,INTERVENTION,TIKTOK,1778628185000,1778630407058,2222058,2132643,8616,259,81.12,CRITICAL,SENTIMENT_UNRELIABLE,,0.804171672799676
P-30Y,CONTROL,TIKTOK,1778628283000,1778628969125,686125,686125,21148,38,25.24,SAFE,RELIABLE,36.2082992003432,0.206189353786938
P-05X,INTERVENTION,FACEBOOK,1778628398000,1778631440367,3042367,2973465,5687,539,99.0,CRITICAL,RELIABLE,58.0992344469065,0.134136963293468
P-04Y,CONTROL,INSTAGRAM,1778628679000,1778630264912,1585912,1585912,6679,241,83.8,CRITICAL,SENTIMENT_UNRELIABLE,,0.695580380907689
P-21X,INTERVENTION,TIKTOK,1778629135000,1778629554154,419154,419154,10499,44,31.83,SAFE,RELIABLE,23.8026905255668,0.408872768108032
P-03X,INTERVENTION,FACEBOOK,1778629334000,1778632185015,2851015,2767332,4597,617,99.0,CRITICAL,RELIABLE,95.7201553226761,0.386850604700488
P-11X,INTERVENTION,INSTAGRAM,1778629767000,1778631216225,1449225,1360775,3652,399,89.1,CRITICAL,RELIABLE,67.3370942924258,0.312084046314774
P-44Y,CONTROL,TIKTOK,1778629901000,1778630287306,386306,386306,27563,15,0.0,SAFE,RELIABLE,8.7008580719765,0.144430750839236
P-05X,INTERVENTION,TIKTOK,1778631104000,1778632273322,1169322,1027214,4663,254,88.0,CRITICAL,RELIABLE,57.1378742175157,0.212254476237761
P-02Y,CONTROL,INSTAGRAM,1778631595000,1778634237692,2642692,2642692,5788,455,99.0,CRITICAL,RELIABLE,82.6186360375333,0.377710780056821
P-16Y,CONTROL,TIKTOK,1778631763000,1778633002376,1239376,1239376,3102,402,81.27,CRITICAL,RELIABLE,48.8781020612293,0.121836148009777
P-04Y,CONTROL,FACEBOOK,1778632056000,1778635742551,3686551,3686551,2307,1598,99.0,CRITICAL,SENTIMENT_UNRELIABLE,,0.669881098157399
P-05X,INTERVENTION,FACEBOOK,1778633814000,1778635246922,1432922,1289528,3172,450,98.8,CRITICAL,RELIABLE,70.5767187974395,0.164198956721136
P-02Y,CONTROL,TIKTOK,1778634335000,1778636688351,2353351,2353351,4737,493,99.0,CRITICAL,RELIABLE,99.264156863545,0.261917403874117
P-16Y,CONTROL,FACEBOOK,1778635068000,1778636788345,1720345,1720345,7818,225,89.0,CRITICAL,RELIABLE,79.5170392315347,0.188617423769676
P-08Y,CONTROL,TIKTOK,1778635456000,1778637422083,1966083,1966083,4783,415,99.0,CRITICAL,RELIABLE,74.0327768926545,0.073634930546585
P-18Y,CONTROL,TIKTOK,1778636193000,1778637521880,1328880,1328880,9203,142,50.1,WARNING,RELIABLE,33.2889995620669,0.332688583387482
P-14Y,CONTROL,INSTAGRAM,1778636370000,1778638637800,2267800,2267800,4377,522,99.0,CRITICAL,RELIABLE,80.7450689151037,0.044756832271956
P-19X,INTERVENTION,TIKTOK,1778636387000,1778636931275,544275,492324,12133,49,41.55,WARNING,RELIABLE,58.2469525040457,0.348613966885944
P-10Y,CONTROL,INSTAGRAM,1778636512000,1778638869894,2357894,2357894,2704,869,94.12,CRITICAL,SENTIMENT_UNRELIABLE,,0.756534616152959
P-07X,INTERVENTION,FACEBOOK,1778636590000,1778639313922,2723922,2674702,6026,453,99.0,CRITICAL,RELIABLE,61.9527829002809,0.145743640282773
P-20Y,CONTROL,TIKTOK,1778636780000,1778637314361,534361,534361,10415,53,37.99,WARNING,SENTIMENT_UNRELIABLE,,0.908917604911768
P-01X,INTERVENTION,TIKTOK,1778636787000,1778637980541,1193541,1068305,1959,610,99.0,CRITICAL,RELIABLE,77.4144947031078,0.386457256400247
P-11X,INTERVENTION,FACEBOOK,1778637097000,1778638453029,1356029,1200440,2818,485,92.02,CRITICAL,RELIABLE,75.6953886961501,0.043712045404858
P-05X,INTERVENTION,FACEBOOK,1778637808000,1778639792968,1984968,1931437,5784,341,99.0,CRITICAL,RELIABLE,90.7846633633057,0.419976821591469
P-01X,INTERVENTION,TIKTOK,1778637899000,1778641986025,4087025,3981331,6216,662,99.0,CRITICAL,RELIABLE,80.6292306984459,0.048493612518094
P-31X,INTERVENTION,INSTAGRAM,1778638722000,1778639506044,784044,784044,17675,45,27.03,SAFE,SENTIMENT_UNRELIABLE,,0.652887213862245
P-13X,INTERVENTION,TIKTOK,1778638815000,1778640528830,1713830,1653424,4868,354,80.99,CRITICAL,SENTIMENT_UNRELIABLE,,0.503492574308115
P-07X,INTERVENTION,TIKTOK,1778638873000,1778640812954,1939954,1918177,1829,1062,99.0,CRITICAL,RELIABLE,63.5368438721621,0.242697251095306
P-17X,INTERVENTION,TIKTOK,1778638954000,1778639642093,688093,688093,15472,42,32.45,SAFE,RELIABLE,43.0610402143031,0.238442782412962
P-40Y,CONTROL,INSTAGRAM,1778639282000,1778639949661,667661,667661,26055,27,11.4,SAFE,SENTIMENT_UNRELIABLE,,0.77290545209612
P-03X,INTERVENTION,FACEBOOK,1778639564000,1778643139023,3575023,3405627,5416,658,99.0,CRITICAL,SENTIMENT_UNRELIABLE,,0.80455338552634
P-50Y,CONTROL,INSTAGRAM,1778639595000,1778640142693,547693,547693,31020,22,0.0,SAFE,RELIABLE,1.0945157073577,0.394707785353365
P-46Y,CONTROL,FACEBOOK,1778639610000,1778639816541,206541,206541,24629,11,0.0,SAFE,RELIABLE,20.8001263213024,0.128150674585423
P-07X,INTERVENTION,INSTAGRAM,1778640160000,1778641896901,1736901,1659497,6219,284,99.0,CRITICAL,RELIABLE,99.910585408321,0.059482499377028
P-50Y,CONTROL,FACEBOOK,1778641706000,1778641905830,199830,199830,27533,4,0.0,SAFE,RELIABLE,17.0831918306207,0.390096679610997
P-34Y,CONTROL,TIKTOK,1778641741000,1778641987398,246398,246398,16192,19,15.84,SAFE,RELIABLE,26.1481269418128,0.266188769147244
P-04Y,CONTROL,TIKTOK,1778641785000,1778642922162,1137162,1137162,6677,174,83.78,CRITICAL,RELIABLE,57.1675670046512,0.410029719588199
P-01X,INTERVENTION,TIKTOK,1778642052000,1778643767732,1715732,1606250,6365,272,93.16,CRITICAL,RELIABLE,59.196503585777,0.273884091681169
P-21X,INTERVENTION,TIKTOK,1778642301000,1778642992765,691765,627332,11146,65,39.77,WARNING,RELIABLE,40.4108552270383,0.415148987266971
P-28Y,CONTROL,FACEBOOK,1778643864000,1778644441934,577934,577934,6422,90,46.09,WARNING,SENTIMENT_UNRELIABLE,,0.806674961882583
P-08Y,CONTROL,INSTAGRAM,1778643977000,1778646867024,2890024,2890024,2057,1409,99.0,CRITICAL,RELIABLE,83.0158307920047,0.219397052625401
P-05X,INTERVENTION,TIKTOK,1778644052000,1778647427169,3375169,3229384,2648,1275,99.0,CRITICAL,RELIABLE,98.4252510414465,0.256437297150421
P-12Y,CONTROL,INSTAGRAM,1778644655000,1778647549676,2894676,2894676,5982,488,99.0,CRITICAL,RELIABLE,87.8930188340336,0.354221510677535
P-02Y,CONTROL,TIKTOK,1778644770000,1778646848032,2078032,2078032,2014,1032,99.0,CRITICAL,RELIABLE,87.3088335995726,0.276417377832498
P-07X,INTERVENTION,TIKTOK,1778646086000,1778647470636,1384636,1275725,4006,345,99.0,CRITICAL,RELIABLE,88.0772239476079,0.094445022010275
P-16Y,CONTROL,FACEBOOK,1778646714000,1778648143555,1429555,1429555,6280,231,74.34,CRITICAL,SENTIMENT_UNRELIABLE,,0.695753819024419
P-15X,INTERVENTION,INSTAGRAM,1778646786000,1778647975724,1189724,1039882,8271,148,79.92,CRITICAL,RELIABLE,77.1330284324966,0.266122981490006
P-24Y,CONTROL,INSTAGRAM,1778646933000,1778647879630,946630,946630,14776,66,35.62,WARNING,SENTIMENT_UNRELIABLE,,0.62827963575628
P-11X,INTERVENTION,INSTAGRAM,1778646956000,1778649112565,2156565,2090559,6753,322,83.69,CRITICAL,SENTIMENT_UNRELIABLE,,0.902871823034115
P-45X,INTERVENTION,FACEBOOK,1778647138000,1778647798846,660846,660846,18399,36,0.0,SAFE,RELIABLE,7.1558026201278,0.362588132909503
P-07X,INTERVENTION,TIKTOK,1778647981000,1778649981481,2000481,1899120,5302,374,99.0,CRITICAL,RELIABLE,65.7978809493304,0.327887107380098
P-03X,INTERVENTION,TIKTOK,1778648021000,1778650258581,2237581,2067529,2419,931,99.0,CRITICAL,RELIABLE,80.5948787644884,0.40859006823382
P-06Y,CONTROL,FACEBOOK,1778648469000,1778649716342,1247342,1247342,2035,617,87.74,CRITICAL,SENTIMENT_UNRELIABLE,,0.620262307700798
P-49X,INTERVENTION,TIKTOK,1778648522000,1778648791039,269039,269039,17650,20,0.0,SAFE,RELIABLE,14.0505537153031,0.08863476318921
P-10Y,CONTROL,TIKTOK,1778648783000,1778650818471,2035471,2035471,8296,245,88.81,CRITICAL,RELIABLE,67.8708675080153,0.29157657028746
P-22Y,CONTROL,FACEBOOK,1778649098000,1778650163101,1065101,1065101,7888,135,50.2,WARNING,SENTIMENT_UNRELIABLE,,0.630953212613143
P-19X,INTERVENTION,INSTAGRAM,1778649109000,1778650265392,1156392,1110560,9515,122,50.84,WARNING,RELIABLE,45.0190793721311,0.19414467811287
P-14Y,CONTROL,TIKTOK,1778649400000,1778650350368,950368,950368,4267,219,71.37,CRITICAL,SENTIMENT_UNRELIABLE,,0.885560759361894
P-12Y,CONTROL,INSTAGRAM,1778649427000,1778650856586,1429586,1429586,5525,256,80.7,CRITICAL,RELIABLE,52.9304112403314,0.076588524066661
P-21X,INTERVENTION,TIKTOK,1778649545000,1778650180544,635544,632259,10277,60,43.62,WARNING,RELIABLE,49.8312557131638,0.316958975012262
P-02Y,CONTROL,TIKTOK,1778649756000,1778651462818,1706818,1706818,5743,297,99.0,CRITICAL,RELIABLE,98.2302114268208,0.30603522040172
P-05X,INTERVENTION,INSTAGRAM,1778649911000,1778654270626,4359626,4231935,2246,1943,99.0,CRITICAL,RELIABLE,67.7066010098571,0.319008139488269
P-06Y,CONTROL,TIKTOK,1778650562000,1778653238421,2676421,2676421,3194,841,99.0,CRITICAL,RELIABLE,86.2152916432896,0.343694963914705
P-01X,INTERVENTION,INSTAGRAM,1778650576000,1778652849123,2273123,2159383,6797,340,93.25,CRITICAL,SENTIMENT_UNRELIABLE,,0.643430751834388
P-20Y,CONTROL,FACEBOOK,1778650625000,1778651294534,669534,669534,15920,45,27.01,SAFE,RELIABLE,29.4813308470407,0.231026280108911
P-08Y,CONTROL,TIKTOK,1778650845000,1778653933274,3088274,3088274,5237,586,99.0,CRITICAL,RELIABLE,55.6775991322311,0.352765245073091
P-04Y,CONTROL,TIKTOK,1778650872000,1778652747099,1875099,1875099,2303,811,99.0,CRITICAL,RELIABLE,64.4530184595993,0.350079826848878
P-33X,INTERVENTION,FACEBOOK,1778650891000,1778651290838,399838,399838,23497,19,19.52,SAFE,RELIABLE,30.9139519969878,0.289296420671087
P-09X,INTERVENTION,TIKTOK,1778651380000,1778652341498,961498,938839,5650,175,72.65,CRITICAL,RELIABLE,49.1063326281578,0.180302484332849
P-07X,INTERVENTION,FACEBOOK,1778653506000,1778655960786,2454786,2331994,3785,646,99.0,CRITICAL,RELIABLE,81.4054032398137,0.205574058816264
P-09X,INTERVENTION,FACEBOOK,1778653644000,1778654388757,744757,676976,7957,96,68.35,CRITICAL,RELIABLE,58.716639572448,0.255562475074772
P-31X,INTERVENTION,TIKTOK,1778653777000,1778654443663,666663,666663,13638,53,26.95,SAFE,RELIABLE,28.5663607487705,0.115724637573112
P-23X,INTERVENTION,INSTAGRAM,1778653971000,1778654450855,479855,426880,11647,45,34.18,WARNING,RELIABLE,35.2153526197118,0.245330100343109
P-45X,INTERVENTION,FACEBOOK,1778654763000,1778655323315,560315,560315,11795,44,3.68,SAFE,RELIABLE,12.2169247837006,0.353941778591594
P-01X,INTERVENTION,TIKTOK,1778654780000,1778657132683,2352683,2192486,5477,434,99.0,CRITICAL,RELIABLE,92.8325473417284,0.241993856883151
P-03X,INTERVENTION,TIKTOK,1778655044000,1778657681925,2637925,2595444,4751,560,99.0,CRITICAL,RELIABLE,95.219202091073,0.225789907125665
P-17X,INTERVENTION,TIKTOK,1778655066000,1778656283373,1217373,1154635,12388,102,45.63,WARNING,RELIABLE,42.8743848452053,0.18207265055109
P-23X,INTERVENTION,INSTAGRAM,1778655615000,1778656135077,520077,434592,8770,56,40.16,WARNING,RELIABLE,35.2639418283942,0.222895989616518
P-25X,INTERVENTION,FACEBOOK,1778655769000,1778656278567,509567,507760,10321,49,34.51,WARNING,RELIABLE,27.164242537761,0.355975968727322
P-12Y,CONTROL,TIKTOK,1778655911000,1778656653503,742503,742503,7201,104,62.95,WARNING,SENTIMENT_UNRELIABLE,,0.827329442820734
P-27X,INTERVENTION,TIKTOK,1778656276000,1778657069502,793502,793502,14771,57,32.26,SAFE,RELIABLE,33.7012381060489,0.285684130596052
P-09X,INTERVENTION,INSTAGRAM,1778656628000,1778659000056,2372056,2309890,5251,452,89.54,CRITICAL,SENTIMENT_UNRELIABLE,,0.618772256126997
P-13X,INTERVENTION,FACEBOOK,1778657071000,1778658852627,1781627,1759474,8259,218,87.17,CRITICAL,RELIABLE,73.6991318801458,0.418601397954698
P-02Y,CONTROL,INSTAGRAM,1778657226000,1778659048500,1822500,1822500,6643,274,98.14,CRITICAL,RELIABLE,71.7083662746435,0.209452007494624
